dat_21,num_dat_21,dat_11,common_cats
West or Central Asian language: Any other West or Central Asian language,48,West/Central Asian Language: West/Central Asian Language (all other),West or Central Asian language: Any other West or Central Asian language
South Asian language: Urdu,49,South Asian Language: Urdu,South Asian language: Urdu
South Asian language: Hindi,50,South Asian Language: Hindi,South Asian language: Hindi
South Asian language: Panjabi,51,South Asian Language: Panjabi,South Asian language: Panjabi
South Asian language: Pakistani Pahari (with Mirpuri and Potwari),52,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian language: Pakistani Pahari (with Mirpuri and Potwari)
South Asian language: Bengali (with Sylheti and Chatgaya),53,South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian language: Bengali (with Sylheti and Chatgaya)
South Asian language: Gujarati,54,South Asian Language: Gujarati,South Asian language: Gujarati
South Asian language: Marathi,55,South Asian Language: Marathi,South Asian language: Marathi
South Asian language: Telugu,56,South Asian Language: Telugu,South Asian language: Telugu
South Asian language: Tamil,57,South Asian Language: Tamil,South Asian language: Tamil
South Asian language: Malayalam,58,South Asian Language: Malayalam,South Asian language: Malayalam
South Asian language: Sinhala,59,South Asian Language: Sinhala,South Asian language: Sinhala
South Asian language: Nepalese,60,South Asian Language: Nepalese,South Asian language: Nepalese
South Asian language: Any other South Asian language,61,South Asian Language: South Asian Language (all other),South Asian language: Any other South Asian language
East Asian language: Mandarin Chinese,62,East Asian Language: Mandarin Chinese,East Asian language: Mandarin Chinese
East Asian language: Cantonese Chinese,63,East Asian Language: Cantonese Chinese,East Asian language: Cantonese Chinese
East Asian language: All other Chinese,64,East Asian Language: All other Chinese,East Asian language: All other Chinese
East Asian language: Japanese,65,East Asian Language: Japanese,East Asian language: Japanese
East Asian language: Korean,66,East Asian Language: Korean,East Asian language: Korean
East Asian language: Vietnamese,67,East Asian Language: Vietnamese,East Asian language: Vietnamese
East Asian language: Thai,68,East Asian Language: Thai,East Asian language: Thai
East Asian language: Malay,69,East Asian Language: Malay,East Asian language: Malay
East Asian language: Tagalog or Filipino,70,East Asian Language: Tagalog/Filipino,East Asian language: Tagalog or Filipino
East Asian language: Any other East Asian language,71,East Asian Language: East Asian Language (all other),East Asian language: Any other East Asian language
Oceanic or Australian language,72,Oceanic/Australian language (any),Oceanic or Australian language
North or South American language,73,North/South American language (any),North or South American language
Caribbean Creole: English-based Caribbean Creole,74,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: English-based Caribbean Creole
Caribbean Creole: Any other Caribbean Creole,75,Caribbean Creole: Caribbean Creole (all other),Caribbean Creole: Any other Caribbean Creole
African language: Amharic,76,African Language: Amharic,African language: Amharic
African language: Tigrinya,77,African Language: Tigrinya,African language: Tigrinya
African language: Somali,78,African Language: Somali,African language: Somali
African language: Krio,79,African Language: Krio,African language: Krio
African language: Akan,80,African Language: Akan,African language: Akan
African language: Yoruba,81,African Language: Yoruba,African language: Yoruba
African language: Igbo,82,African Language: Igbo,African language: Igbo
African language: Swahili or Kiswahili,83,African Language: Swahili/Kiswahili,African language: Swahili or Kiswahili
African language: Luganda,84,African Language: Luganda,African language: Luganda
African language: Lingala,85,African Language: Lingala,African language: Lingala
African language: Shona,86,African Language: Shona,African language: Shona
African language: Afrikaans,87,African Language: Afrikaans,African language: Afrikaans
African language: Any other Nigerian language,88,African Language: Any other Nigerian language,African language: Any other Nigerian language
African language: Any other West African language,89,African Language: West African language (all other),African language: Any other West African language
African language: Any other African language,90,African Language: African language (all other),African language: Any other African language
Sign language: British Sign Language,91,Sign Language: British sign language,Sign language: British Sign Language
Sign language: Any other sign language,92,Sign Language: Sign Language (all other),Sign language: Any other sign language
Sign language: Any sign communication system,93,Sign Language: Any Sign Communication System,Sign language: Any sign communication system
Other language,94,Other Languages: All other languages,Other language
