orig_names_21,plot_name_21,orig_names,plot_name
Middle East and Asia: Eastern Asia: Other Eastern Asia,Other Eastern Asia,Middle East and Asia: Eastern Asia: Other Eastern Asia,Other Eastern Asia
Middle East and Asia: Southern Asia: Afghanistan,Afghanistan,Middle East and Asia: Southern Asia: Afghanistan,Afghanistan
Middle East and Asia: Southern Asia: India,India,Middle East and Asia: Southern Asia: India,India
Middle East and Asia: Southern Asia: Pakistan,Pakistan,Middle East and Asia: Southern Asia: Pakistan,Pakistan
Middle East and Asia: Southern Asia: Bangladesh,Bangladesh,Middle East and Asia: Southern Asia: Bangladesh,Bangladesh
Middle East and Asia: Southern Asia: Sri Lanka,Sri Lanka,Middle East and Asia: Southern Asia: Sri Lanka,Sri Lanka
Middle East and Asia: Southern Asia: Other Southern Asia,Other Southern Asia,Middle East and Asia: Southern Asia: Other Southern Asia,Other Southern Asia
Middle East and Asia: South-East Asia: Philippines,Philippines,Middle East and Asia: South-East Asia: Philippines,Philippines
Middle East and Asia: South-East Asia: Malaysia,Malaysia,Middle East and Asia: South-East Asia: Malaysia,Malaysia
Middle East and Asia: South-East Asia: Singapore,Singapore,Middle East and Asia: South-East Asia: Singapore,Singapore
Middle East and Asia: South-East Asia: Other South-East Asia,Other South-East Asia,Middle East and Asia: South-East Asia: Other South-East Asia,Other South-East Asia
Middle East and Asia: Central Asia,Central Asia,Middle East and Asia: Central Asia,Central Asia
The Americas and the Caribbean: North America: United States,United States,The Americas and the Caribbean: North America: United States,United States
The Americas and the Caribbean: North America: Canada,Canada,The Americas and the Caribbean: North America: Canada,Canada
The Americas and the Caribbean: North America: Other North America,Other North America,The Americas and the Caribbean: North America: Other North America,Other North America
The Americas and the Caribbean: Central America: All Central American countries,All Central American countries,The Americas and the Caribbean: Central America: All Central American countries,All Central American countries
The Americas and the Caribbean: South America: All South American countries,All South American countries,The Americas and the Caribbean: South America: All South American countries,All South American countries
The Americas and the Caribbean: The Caribbean: Jamaica,Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica,Jamaica
The Americas and the Caribbean: The Caribbean: Other Caribbean,Other Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean,Other Caribbean
Antarctica and Oceania: Australasia: Australia,Australia,Antarctica and Oceania: Australasia: Australia,Australia
Antarctica and Oceania: Australasia: New Zealand,New Zealand,Antarctica and Oceania: Australasia: New Zealand,New Zealand
Antarctica and Oceania: Australasia: Other Australasia,Other Australasia,Antarctica and Oceania: Australasia: Other Australasia,Other Australasia
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica
Other,Other,Other,Other
